source,book,page,problem_number,type,answer,response,correct
LLM_annotation,라이트쎈 중등수학 1-1,16,217,0,3,"-1:4
-2:12
-3:20
-4:28
-5:84",False
LLM_annotation,라이트쎈 중등수학 1-1,16,215,0,3," -215: 2
-218: 27",False
LLM_annotation,라이트쎈 중등수학 1-1,13,194,0,3,-0194: 2,False
LLM_annotation,라이트쎈 중등수학 1-1,12,188,0,2,-0188: 2^2 \times 5,False
LLM_annotation,라이트쎈 중등수학 1-1,11,181,1,6,-0181: 6개,False
LLM_annotation,라이트쎈 중등수학 1-1,11,183,0,5," -1:2
 -2:8
 -3:15
 -4:18
 -5: 5",False
LLM_annotation,라이트쎈 중등수학 1-1,7,109,3,"[ㄱ,ㄴ,ㄷ]","-109: (ㄱ),(ㄴ),(ㄷ)",False
LLM_annotation,라이트쎈 중등수학 1-1,11,182,0,3,"-1:9,21 
-2:13,52 
-3:14,27 
-4:34,51 
-5:49,56",False
LLM_annotation,라이트쎈 중등수학 1-1,10,127,1,18,-127: 18,False
LLM_annotation,라이트쎈 중등수학 1-1,5,94,0,"[1,4]","-94: ①,④",False
LLM_annotation,라이트쎈 중등수학 1-1,14,205,0,2,-5: 24,False
LLM_annotation,라이트쎈 중등수학 1-1,5,90,1,12,-90:  2+5=7,False
LLM_annotation,라이트쎈 중등수학 1-1,12,189,1,2,-189: 2,False
LLM_annotation,라이트쎈 중등수학 1-1,7,104,0,3, -4: 3,False
LLM_annotation,라이트쎈 중등수학 1-1,12,185,0,3,-0185: ②,False
LLM_annotation,라이트쎈 중등수학 1-1,1,61,1,10,-61: 10,False
LLM_annotation,라이트쎈 중등수학 1-1,12,190,1,4,"-190: 4
-191: a=2 b=1 c=1 / a+b+c=4",False
LLM_annotation,라이트쎈 중등수학 1-1,13,192,1,"[1,2,4]","-0192: (1,2,4)",False
LLM_annotation,라이트쎈 중등수학 1-1,11,178,0,3,-178: ③,False
LLM_annotation,라이트쎈 중등수학 1-1,3,80,0,2,"-1: 2 
-2: 3 
-3: 1 
-4: -1 
-5: -2",False
LLM_annotation,라이트쎈 중등수학 1-1,15,210,0,4,-0210: 5,False
LLM_annotation,라이트쎈 중등수학 1-1,14,203,0,1,-3: 2,False
LLM_annotation,라이트쎈 중등수학 1-1,2,72,1,12,-72: 12,False
LLM_annotation,라이트쎈 중등수학 1-1,7,105,1,6,-105: 6,False
LLM_annotation,라이트쎈 중등수학 1-1,2,70,1,3, -70: 3,False
LLM_annotation,라이트쎈 중등수학 1-1,7,110,1,3,-0110:3,False
LLM_annotation,라이트쎈 중등수학 1-1,14,200,1,3,"-1: 4 
-2: 24 , 2*3^2 , 2^3*3^2 
-3:  2^4*3^2 
-4: 16*9 , 144 , 288 , 432",False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,4,86,0,5,-86: 5,False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,3,74,1,7, -74:7,False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,5,91,1,44,-91: 44,False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,1,64,"[1:1, 2:1, 3:1]","[1:7, 2:11, 3:[10, 12, 17]]","-1: 7
-2: 11
-3: [10,12,11]",False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,2,71,1,256,-71:  $2^8$,False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,3,78,1,9, -78: 9,False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,3,79,0,3, -3: 7,False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,4,81,0,2,"-1: 2
-2: 2
-3: 3
-4: 2
-5: 2",False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,3,77,0,3, -1:4,False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,3,73,0,1, -73: 8,False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,1,62,1,37,-62: 37,False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,1,63,0,4,"-63: 4 
- $a+b=10$",False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,4,87,"[1:2, 2:1]","[1: 2^3*3*5*7, 2: 17]"," -1: 2^3 *3*5*7
 -2:17",False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,1,65,0,"[4, 5]","-1: X
-2: X
-3: X
-4: O
-5: O",False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,2,69,3,"[a:90, b:11]","-69:(a=5, b=6)",False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,3,76,1,23, -76: 2-1+7,False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,4,88,0,4,-0088: 4,False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,4,88,0,4,-4: 26,False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,5,93,1,"[3, 5, 14, 25, 90]","-93: \{3,5,15,25,50\}",False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,3,75,0,2," -1: $42=2 \times 3 \times 7$
 -2: 
 -3: $93=3 \times 31$ 
 -4: $156=2 \times 6 \times 13$ 
 -5: $216=2^3 \times 3^3$",False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,4,85,1,8,-85: 8,False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,1,61,1,17, -61: 17,False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,3,80,0,5,"-1:3
-2:2
-3:1
-4:-1
-5:2",False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,2,72,1,20,-72: 20,False
LLM_annotation_wrong,라이트쎈 중등수학 1-1,2,70,1,15, -70: 3,False
